PROBLEM_NAME,CAT_I_FACTORIZATION,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION,ARC_FACTORIZATION,TRU_FACTORIZATION
EDENSCH,12000.0,12003.284592,12003.284592,12003.2846,12003.2846
EG2,-998.947393,-998.947393,-998.947393,-998.947393,-998.947393
EIGENALS,0.276,0.0,0.0,0.000735,0.0
EIGENBLS,2.0e-6,0.0,1.3e-5,0.0,0.0
EIGENCLS,177.0,2867.776778,2867.776778,0.10759,0.0
ENGVAL1,5550.0,5548.668419,5548.668419,5548.66842,5548.66842
EXTROSNB,1.0e-6,0.0,0.0,0.0,0.0
FLETBV3M,-229684.3383,-231673.9069,-231658.3953,-237871.645,-240345.971
FLETCBV2,-0.5,-0.500268,-0.500268,-0.500268,-0.500268
FLETCBV3,-8.32e8,-3.54e9,-3.58e9,-1.57561674e7,-2.2187884e7
FLETCHBV,-7.27e16,-3.54e17,-3.58e17,-9.26026e15,-7.23784e15
FLETCHCR,0.0,0.0,0.0,0.0,0.0
FMINSRF2,1.0,1.000002,1.000016,1.0,1.0
FMINSURF,2.31,1.0,1.0,1.096527,1.0
FREUROTH,608000.0,608159.189046,608159.189046,608159.189,608159.189
GENHUMPS,0.0,0.0,0.0,193911.789,23552.4644
GENROSE,1.0,1.0,1.0,1.0,1.0
INDEF,-3.74e16,-1.22e15,-1.22e15,-8.62114e11,1.03138e18
INDEFM,-6.7e6,-1.0e7,-1.0e7,-1.0049997e7,-9.99860384e6
INTEQNELS,0.0,0.0,0.0,0.0,0.0
JIMACK,0.867,0.866793,0.866793,0.866793,0.866793
KSSLS,0.0,0.0,0.0,0.0,0.0
LIARWHD,0.0,0.0,0.0,0.0,0.0
LUKSAN11LS,0.0,0.0,0.0,0.0,0.0
LUKSAN15LS,3.569697,3.569697,3.569697,3.569697,3.569697
LUKSAN16LS,3.569697,3.569697,3.569697,3.569697,3.569697
LUKSAN17LS,0.493161,0.493161,0.493161,0.493161,0.493161
LUKSAN21LS,0.0,0.0,0.0,0.0,0.0
LUKSAN22LS,868.940478,868.940478,868.940478,868.940478,868.940478
MANCINO,0.0,0.0,0.0,0.0,0.0
MNISTS0LS,300.000063,296.000026,298.000007,294.000011,294.000011
MNISTS5LS,1430.0,1390.000004,1376.000005,1314.00003,1326.00066
MODBEALE,0.0,0.0,0.0,0.0,0.0
MOREBV,0.0,0.0,0.0,0.0,0.0
MSQRTALS,0.0,0.0,0.0,0.0,0.0
MSQRTBLS,0.0,0.0,0.0,0.0,0.0
NCB20,-1460.0,-1453.404512,-1453.404512,-1456.00189,-1417.72213
NCB20B,7350.0,7351.300585,7351.300585,7351.30058,7351.30058
NONCVXU2,11584.34811,66923.070898,66923.070898,3.45280833e10,2.07593181e10
NONCVXUN,11600.0,11596.664951,11597.978327,4.05224959e8,2.2971151e8
NONDIA,524246.5718,0.0,0.0,0.0,0.0
NONDQUAR,0.0,0.0,0.0,0.0,0.0
NONMSQRT,709.0,708.614949,708.609142,708.714348,708.61214
OSCIGRAD,2.24e8,0.0,0.0,0.0,0.0
OSCIPATH,1.0,0.999967,0.999967,0.999967,0.999967
PENALTY1,0.009686,0.009686,0.009686,0.009686,0.009686
PENALTY2,4.71e13,4.711627728753194e13,4.711627728753194e13,4.71163e13,4.71163e13
PENALTY3,0.001,0.000999,0.000999,0.000998,39857.5366
POWELLSG,0.0,0.0,0.0,0.0,0.0
POWER,0.0,0.0,0.0,0.0,0.0
QING,0.0,0.0,0.0,0.0,0.0
QUARTC,3.45e17,0.0,0.0,0.0,0.0
SBRYBND,14400.0,0.0,0.0,0.0,0.0
SCHMVETT,-15000.0,-14994.0,-14994.0,-14994.0,-14994.0
SCOSINE,-3850.0,-4990.81262,-4990.81262,-4987.95938,-4995.66723
SCURLY10,Inf,7.0056629189629e31,7.0056629189629e31,-1.00275434e6,-1.00315342e6
SCURLY20,Inf,9.031409469514388e32,9.031409469514388e32,-1.00222181e6,-1.0031629e6
SCURLY30,Inf,4.163190245539976e33,4.163190245539976e33,-1.00156911e6,2.66279e17
SENSORS,-1893.375,-1919.53125,-2007.28125,-2068.03125,-2068.03125
SINQUAD,-6.76e6,-6.76e6,-6.76e6,-6.75701376e6,-6.75701376e6
SPARSINE,0.0,0.0,0.0,0.0,0.0
SPARSQUR,0.0,0.0,0.0,0.0,0.0
SPIN2LS,0.0,0.0,0.0,0.0,0.0
SPINLS,0.0,0.0,0.0,0.0,0.0
SPMSRTLS,0.0,0.0,0.0,20.038732,9.001979
SROSENBR,0.0,0.0,0.0,0.0,0.0
SSBRYBND,2290.0,0.0,0.0,0.0,0.0
SSCOSINE,-4960.0,-4995.823217,-4996.251589,-4985.34723,-4994.67901
TESTQUAD,0.0,0.0,0.0,0.0,0.0
TOINTGSS,10.0,10.0,10.0,10.002001,10.0
TQUARTIC,0.0,0.0,0.0,0.0,0.0
TRIDIA,0.0,0.0,0.0,0.0,0.0
VARDIM,0.0,0.0,0.0,0.0,0.0
VAREIGVL,0.0,0.0,0.0,0.0,0.0
WOODS,0.0,0.0,0.0,0.0,0.0
YATP1CLS,2.54036948e9,2.54e9,2.54e9,2.54036948e9,2.54036948e9
YATP1LS,2.54036948e9,2.54e9,2.54e9,2.54036948e9,2.54036948e9
YATP2CLS,7.67267205e9,7.67e9,7.67e9,7.67267205e9,7.67267205e9
YATP2LS,7.67267205e9,7.67e9,7.67e9,7.67267205e9,7.67267205e9
